8,8,16,16,36000000,500,219.385903,0.882780,248.52
8,8,32,32,36000000,500,218.110044,0.783537,278.37
8,8,64,64,36000000,500,213.359467,0.777324,274.48
8,8,128,128,36000000,500,213.885004,0.782045,273.49
16,16,16,16,36000000,500,216.537852,0.728814,297.11
16,16,32,32,36000000,500,216.328833,0.726653,297.71
16,16,64,64,36000000,500,212.440479,0.791624,268.36
16,16,128,128,36000000,500,214.095526,0.733149,292.02
32,32,16,16,36000000,500,217.510703,0.815065,266.86
32,32,32,32,36000000,500,212.503552,0.827694,256.74
32,32,64,64,36000000,500,213.808017,0.831300,257.20
32,32,128,128,36000000,500,218.925568,0.831383,263.33
