Threads,Resolution,Iterations,Width,Height,Total size,Execution time [ms],Writing to file [ms],Total time [ms],Execution time [%],Writing to file [%],Speedup,Efficiency,Total speedup,Total efficiency
1,6000,500,18000,12000,216000000,57799,13209,71008,0.81398,0.18602,,,,
2,6000,500,18000,12000,216000000,15511,13303,28814,0.53831,0.46169,,,,
4,6000,500,18000,12000,216000000,4641,13145,17786,0.26094,0.73906,,,,
8,6000,500,18000,12000,216000000,2959,13472,16431,0.18009,0.81991,,,,
16,6000,500,18000,12000,216000000,2875,13212,16087,0.17872,0.82128,,,,
32,6000,500,18000,12000,216000000,2837,13391,16228,0.17482,0.82518,,,,
1,6500,500,19500,13000,253500000,68260,15434,83694,0.81559,0.18441,,,,
2,6500,500,19500,13000,253500000,17936,15537,33473,0.53583,0.46417,,,,
4,6500,500,19500,13000,253500000,5363,16206,21569,0.24864,0.75136,,,,
8,6500,500,19500,13000,253500000,3265,15402,18667,0.17491,0.82509,,,,
16,6500,500,19500,13000,253500000,3540,15284,18824,0.18806,0.81194,,,,
32,6500,500,19500,13000,253500000,3488,15993,19481,0.17905,0.82095,,,,
1,7500,500,22500,15000,337500000,90342,21316,111658,0.8091,0.1909,,,,
2,7500,500,22500,15000,337500000,23893,21778,45671,0.52315,0.47685,,,,
4,7500,500,22500,15000,337500000,7119,22314,29433,0.24187,0.75813,,,,
8,7500,500,22500,15000,337500000,4280,21522,25802,0.16588,0.83412,,,,
16,7500,500,22500,15000,337500000,4323,21425,25748,0.1679,0.8321,,,,
32,7500,500,22500,15000,337500000,4280,21566,25846,0.1656,0.8344,,,,
1,10000,500,30000,20000,600000000,,,,,,,,,
2,10000,500,30000,20000,600000000,,,,,,,,,
4,10000,500,30000,20000,600000000,,,,,,,,,
8,10000,500,30000,20000,600000000,,,,,,,,,
16,10000,500,30000,20000,600000000,7516,37781,45297,0.16593,0.83407,,,,
32,10000,500,30000,20000,600000000,,,,,,,,,
1,6000,750,18000,12000,216000000,85051,13503,98554,0.86299,0.13701,,,,
2,6000,750,18000,12000,216000000,22063,13334,35397,0.6233,0.3767,,,,
4,6000,750,18000,12000,216000000,6314,13393,19707,0.32039,0.67961,,,,
8,6000,750,18000,12000,216000000,3654,13287,16941,0.21569,0.78431,,,,
16,6000,750,18000,12000,216000000,3651,13397,17048,0.21416,0.78584,,,,
32,6000,750,18000,12000,216000000,3690,13372,17062,0.21627,0.78373,,,,
1,6500,750,19500,13000,253500000,99001,15574,114575,0.03187,0.11693,,,,
2,6500,750,19500,13000,253500000,25850,15753,41603,0.62135,0.37865,,,,
4,6500,750,19500,13000,253500000,7359,15621,22980,0.32023,0.67977,,,,
8,6500,750,19500,13000,253500000,4262,15579,19841,0.21481,0.78519,,,,
16,6500,750,19500,13000,253500000,4262,16869,21131,0.20169,0.79831,,,,
32,6500,750,19500,13000,253500000,4295,16859,21154,0.20303,0.79697,,,,
1,7500,750,22500,15000,337500000,,,,,,,,,
2,7500,750,22500,15000,337500000,,,,,,,,,
4,7500,750,22500,15000,337500000,,,,,,,,,
8,7500,750,22500,15000,337500000,,,,,,,,,
16,7500,750,22500,15000,337500000,,,,,,,,,
32,7500,750,22500,15000,337500000,,,,,,,,,
1,10000,750,30000,20000,600000000,,,,,,,,,
2,10000,750,30000,20000,600000000,,,,,,,,,
4,10000,750,30000,20000,600000000,,,,,,,,,
8,10000,750,30000,20000,600000000,,,,,,,,,
16,10000,750,30000,20000,600000000,,,,,,,,,
32,10000,750,30000,20000,600000000,,,,,,,,,
64,10000,750,30000,20000,600000000,,,,,,,,,
128,10000,750,30000,20000,600000000,,,,,,,,,
256,10000,750,30000,20000,600000000,,,,,,,,,
