Threads,Resolution,Iterations,Width,Height,Total size,Execution time [ms],Writing to file [ms],Total time [ms],Execution time [%],Writing to file [%],Sequential,Speedup,Efficiency,Total speedup,Total efficiency
1,6000,500,18000,12000,216000000,57799,13209,71008,0.81398,0.18602,61.8,,,,
2,6000,500,18000,12000,216000000,15511,13303,28814,0.53831,0.46169,61.8,,,,
4,6000,500,18000,12000,216000000,4641,13145,17786,0.26094,0.73906,61.8,,,,
8,6000,500,18000,12000,216000000,2959,13472,16431,0.18009,0.81991,61.8,,,,
16,6000,500,18000,12000,216000000,2875,13212,16087,0.17872,0.82128,61.8,,,,
32,6000,500,18000,12000,216000000,2837,13391,16228,0.17482,0.82518,61.8,,,,
1,6500,500,19500,13000,253500000,68260,15434,83694,0.81559,0.18441,74.4,,,,
2,6500,500,19500,13000,253500000,17936,15537,33473,0.53583,0.46417,74.4,,,,
4,6500,500,19500,13000,253500000,5363,16206,21569,0.24864,0.75136,74.4,,,,
8,6500,500,19500,13000,253500000,3265,15402,18667,0.17491,0.82509,74.4,,,,
16,6500,500,19500,13000,253500000,3540,15284,18824,0.18806,0.81194,74.4,,,,
32,6500,500,19500,13000,253500000,3488,15993,19481,0.17905,0.82095,74.4,,,,
1,7500,500,22500,15000,337500000,90342,21316,111658,0.8091,0.1909,97,,,,
2,7500,500,22500,15000,337500000,23893,21778,45671,0.52315,0.47685,97,,,,
4,7500,500,22500,15000,337500000,7119,22314,29433,0.24187,0.75813,97,,,,
8,7500,500,22500,15000,337500000,4280,21522,25802,0.16588,0.83412,97,,,,
16,7500,500,22500,15000,337500000,4323,21425,25748,0.1679,0.8321,97,,,,
32,7500,500,22500,15000,337500000,4280,21566,25846,0.1656,0.8344,97,,,,
1,10000,500,30000,20000,600000000,159885,37694,197579,0.809220616,0.190779384,172.2,,,,
2,10000,500,30000,20000,600000000,42084,38030,80114,0.525301445,0.474698555,172.2,,,,
4,10000,500,30000,20000,600000000,12451,37594,50045,0.248796084,0.751203916,172.2,,,,
8,10000,500,30000,20000,600000000,7615,38498,46113,0.165137814,0.834862186,172.2,,,,
16,10000,500,30000,20000,600000000,7516,37781,45297,0.16593,0.83407,172.2,,,,
32,10000,500,30000,20000,600000000,7413,37839,45252,0.163815964,0.836184036,172.2,,,,
1,6000,750,18000,12000,216000000,85051,13503,98554,0.86299,0.13701,91.6,,,,
2,6000,750,18000,12000,216000000,22063,13334,35397,0.6233,0.3767,91.6,,,,
4,6000,750,18000,12000,216000000,6314,13393,19707,0.32039,0.67961,91.6,,,,
8,6000,750,18000,12000,216000000,3654,13287,16941,0.21569,0.78431,91.6,,,,
16,6000,750,18000,12000,216000000,3651,13397,17048,0.21416,0.78584,91.6,,,,
32,6000,750,18000,12000,216000000,3690,13372,17062,0.21627,0.78373,91.6,,,,
1,6500,750,19500,13000,253500000,99001,15574,114575,0.03187,0.11693,108,,,,
2,6500,750,19500,13000,253500000,25850,15753,41603,0.62135,0.37865,108,,,,
4,6500,750,19500,13000,253500000,7359,15621,22980,0.32023,0.67977,108,,,,
8,6500,750,19500,13000,253500000,4262,15579,19841,0.21481,0.78519,108,,,,
16,6500,750,19500,13000,253500000,4262,16869,21131,0.20169,0.79831,108,,,,
32,6500,750,19500,13000,253500000,4295,16859,21154,0.20303,0.79697,108,,,,
1,7500,750,22500,15000,337500000,132180,19930,152110,0.868976399,0.131023601,143.8,,,,
2,7500,750,22500,15000,337500000,34329,19764,54093,0.63462925,0.36537075,143.8,,,,
4,7500,750,22500,15000,337500000,9763,19728,29491,0.331050151,0.668949849,143.8,,,,
8,7500,750,22500,15000,337500000,5584,21345,26929,0.207360095,0.792639905,143.8,,,,
16,7500,750,22500,15000,337500000,5654,21070,26724,0.211570124,0.788429876,143.8,,,,
32,7500,750,22500,15000,337500000,5683,20065,25748,0.220716172,0.779283828,143.8,,,,
1,10000,750,30000,20000,600000000,234656,37549,272205,0.862056171,0.137943829,255.7,,,,
2,10000,750,30000,20000,600000000,61067,37991,99058,0.616477215,0.383522785,255.7,,,,
4,10000,750,30000,20000,600000000,17197,37825,55022,0.312547708,0.687452292,255.7,,,,
8,10000,750,30000,20000,600000000,9870,38961,48831,0.202125699,0.797874301,255.7,,,,
16,10000,750,30000,20000,600000000,9879,37984,47863,0.206401605,0.793598395,255.7,,,,
32,10000,750,30000,20000,600000000,10384,38768,49152,0.211263021,0.788736979,255.7,,,,
32,10000,750,30000,20000,600000000,9947,38521,48468,0.205228192,0.794771808,,,,,
